neighbourhood,neighbourhood_cleansed,has_availability,first_review,instant_bookable
0,Buttes-Chaumont,t,2016-05-31,f
0,Buttes-Montmartre,t,2012-10-27,f
"Paris, Île-de-France, France",Passy,t,2014-04-23,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-10-08,f
0,Ménilmontant,t,2011-10-21,f
"Paris, Île-de-France, France",Élysée,t,2011-08-12,f
"Paris, Île-de-France, France",Gobelins,t,2013-07-04,f
0,Buttes-Montmartre,t,2014-08-21,f
"Paris, Île-de-France, France",Vaugirard,t,2012-07-10,f
"Paris, Île-de-France, France",Panthéon,t,2011-09-02,f
"Paris, Île-de-France, France",Ménilmontant,t,2012-04-09,f
0,Popincourt,t,0,f
"Paris, Île-de-France, France",Temple,t,2011-08-12,f
"Paris, Île-de-France, France",Vaugirard,t,2011-11-04,f
"Paris, Île-de-France, France",Bourse,t,2011-08-06,f
0,Hôtel-de-Ville,t,2012-06-12,f
0,Temple,t,2013-04-07,f
"Paris, Île-de-France, France",Popincourt,t,2011-09-22,f
0,Élysée,t,2013-06-26,f
0,Gobelins,t,2018-05-31,f
0,Ménilmontant,t,2012-06-08,f
"Paris, France",Buttes-Montmartre,t,2011-09-12,f
"Paris, Île-de-France, France",Buttes-Chaumont,f,2011-09-19,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2014-04-04,f
0,Palais-Bourbon,t,2017-10-25,f
"Paris, Île-de-France, France",Entrepôt,t,2012-03-18,f
"Paris, Île-de-France, France",Entrepôt,t,2011-10-01,f
"Paris, Île-de-France, France",Entrepôt,t,2011-08-31,f
0,Temple,t,0,f
"Paris, Île-de-France, France",Panthéon,t,2012-07-23,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2011-08-16,f
"Paris, Île-de-France, France",Observatoire,t,2011-10-02,f
0,Temple,t,2011-09-22,t
"Paris, Île-de-France, France",Bourse,t,2011-10-03,t
"Paris, Île-de-France, France",Passy,t,2011-08-31,f
"Paris, Île-de-France, France",Popincourt,t,2011-11-01,f
"Paris, Île-de-France, France",Reuilly,t,2012-09-23,f
0,Buttes-Montmartre,t,2011-11-08,f
0,Popincourt,t,2012-07-19,f
0,Panthéon,t,2011-10-10,f
0,Batignolles-Monceau,t,2012-04-09,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2011-09-28,f
0,Buttes-Montmartre,t,2012-04-16,f
0,Hôtel-de-Ville,t,2013-03-28,t
0,Ménilmontant,t,0,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2011-09-28,f
"Paris, Île-de-France, France",Entrepôt,t,2011-09-16,f
0,Observatoire,t,0,f
"Paris, Île-de-France, France",Luxembourg,t,2011-09-29,t
"Paris, Île-de-France, France",Panthéon,t,2012-05-13,t
"Paris, Île-de-France, France",Entrepôt,t,2011-09-22,f
"Paris, Île-de-France, France",Popincourt,t,2012-05-27,f
"Paris, Île-de-France, France",Élysée,t,2014-03-17,f
0,Buttes-Montmartre,t,2011-10-08,t
"Paris, Île-de-France, France",Buttes-Montmartre,t,2012-05-28,f
0,Reuilly,t,2014-04-05,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2011-10-12,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2012-04-01,f
"Paris, IdF, France",Opéra,t,2011-10-05,f
0,Luxembourg,t,2011-09-24,f
0,Temple,t,2012-04-10,f
0,Passy,t,2011-10-27,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2017-04-10,f
0,Buttes-Montmartre,t,2012-07-10,t
0,Buttes-Montmartre,t,2012-09-20,f
0,Buttes-Chaumont,t,2011-10-24,f
0,Buttes-Chaumont,t,0,f
0,Temple,t,2011-11-12,f
"Paris, Île-de-France, France",Temple,t,2012-09-18,f
"Paris, Île-de-France, France",Ménilmontant,t,2011-10-13,f
"Paris, Île-de-France, France",Observatoire,t,2012-05-28,t
"Paris, Île-de-France, France",Temple,t,2011-10-13,t
0,Buttes-Chaumont,t,2012-04-26,f
"Paris, Île-de-France, France",Panthéon,t,2013-04-28,f
"Paris, Île-de-France, France",Louvre,t,2011-10-17,t
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-05-27,t
"Paris, Île-de-France, France",Passy,t,2012-06-03,t
0,Buttes-Montmartre,t,2012-01-03,f
0,Élysée,t,2011-10-30,f
"Paris, Île-de-France, France",Entrepôt,t,2013-02-18,f
0,Passy,t,2014-07-02,f
0,Reuilly,t,2012-07-08,f
0,Ménilmontant,t,2012-05-09,f
0,Popincourt,t,2011-11-01,f
0,Entrepôt,t,2011-10-22,f
0,Batignolles-Monceau,t,2018-05-30,t
0,Popincourt,t,0,f
0,Temple,t,2012-01-03,f
"Paris, Île-de-France, France",Popincourt,t,2016-06-30,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2012-01-15,f
0,Bourse,t,2012-04-17,f
0,Buttes-Montmartre,t,2011-12-14,f
0,Entrepôt,t,2013-10-16,f
0,Hôtel-de-Ville,t,2012-09-09,f
0,Popincourt,t,2012-02-01,t
0,Louvre,t,2012-09-28,f
0,Ménilmontant,t,2012-01-02,f
0,Panthéon,t,2011-11-29,f
0,Louvre,t,2012-07-31,t
"Paris, Île-de-France, France",Entrepôt,t,2011-11-21,f
0,Vaugirard,t,2013-03-10,f
